id,exact+AF8-time+AF8-before+AF8-event,exact+AF8-time+AF8-after+AF8-event,model+AF8-type,val+AF8-fold,in+AF8-channels,hidden+AF8-channels,hidden+AF8-size,kernel+AF8-sizes,d+AF8-model,nhead,num+AF8-layers,bidirectional,dim+AF8-feedforward,dropout+AF8-rate
202740,1900,100,LSTM,2,28,128,,,,,3,False,,+ACI-0,5+ACI-
202750,450,300,LSTM,0,28,256,,,,,4,True,,+ACI-0,3+ACI-
202760,650,100,LSTM,2,28,16,,,,,5,False,,+ACI-0,5+ACI-
202770,1000,0,LSTM,0,28,32,,,,,2,False,,+ACI-0,4+ACI-
202780,500,0,LSTM,1,28,64,,,,,3,True,,+ACI-0,3+ACI-
202790,100,0,LSTM,2,28,128,,,,,4,False,,+ACI-0,5+ACI-
202800,1700,300,LSTM,0,28,256,,,,,5,True,,+ACI-0,3+ACI-
202810,250,0,LSTM,1,28,16,,,,,2,True,,+ACI-0,4+ACI-
202820,800,200,LSTM,2,28,32,,,,,3,False,,+ACI-0,4+ACI-
202830,2800,200,LSTM,0,28,64,,,,,4,True,,+ACI-0,5+ACI-
202840,2900,100,LSTM,2,28,128,,,,,5,False,,+ACI-0,3+ACI-
202850,300,200,LSTM,0,28,256,,,,,2,False,,+ACI-0,5+ACI-
202860,450,300,LSTM,2,28,16,,,,,3,True,,+ACI-0,3+ACI-
202870,2700,300,LSTM,2,28,32,,,,,4,False,,+ACI-0,5+ACI-
202880,2700,300,LSTM,1,28,64,,,,,5,True,,+ACI-0,4+ACI-
202890,1700,300,LSTM,2,28,128,,,,,2,True,,+ACI-0,4+ACI-
202900,1000,0,LSTM,0,28,256,,,,,3,False,,+ACI-0,4+ACI-
202910,1300,200,LSTM,1,28,16,,,,,4,True,,+ACI-0,5+ACI-
202920,800,200,LSTM,2,28,32,,,,,5,False,,+ACI-0,4+ACI-
202930,700,50,LSTM,0,28,64,,,,,2,False,,+ACI-0,3+ACI-
202940,2700,300,LSTM,1,28,128,,,,,3,True,,+ACI-0,5+ACI-
202950,150,100,LSTM,1,28,256,,,,,4,False,,+ACI-0,3+ACI-
202960,3000,0,LSTM,2,28,16,,,,,5,True,,+ACI-0,5+ACI-
202970,2500,0,LSTM,1,28,32,,,,,2,True,,+ACI-0,5+ACI-
202980,2400,100,LSTM,2,28,64,,,,,3,False,,+ACI-0,5+ACI-
202990,700,300,LSTM,0,28,128,,,,,4,True,,+ACI-0,5+ACI-
203000,150,100,LSTM,1,28,256,,,,,5,False,,+ACI-0,3+ACI-
203010,2000,0,LSTM,2,28,16,,,,,2,False,,+ACI-0,4+ACI-
203020,350,150,LSTM,1,28,32,,,,,3,True,,+ACI-0,5+ACI-
203030,250,0,LSTM,0,28,64,,,,,4,False,,+ACI-0,3+ACI-
203040,100,0,LSTM,1,28,128,,,,,5,True,,+ACI-0,5+ACI-
203050,2900,100,LSTM,2,28,256,,,,,2,True,,+ACI-0,4+ACI-
203060,450,300,LSTM,0,28,16,,,,,3,False,,+ACI-0,3+ACI-
203070,550,200,LSTM,1,28,32,,,,,4,True,,+ACI-0,4+ACI-
203080,1300,200,LSTM,2,28,64,,,,,5,False,,+ACI-0,3+ACI-
203090,900,100,LSTM,0,28,128,,,,,2,False,,+ACI-0,3+ACI-
203100,550,200,LSTM,1,28,256,,,,,3,True,,+ACI-0,5+ACI-
203110,500,250,LSTM,2,28,16,,,,,4,False,,+ACI-0,4+ACI-
203120,1800,200,LSTM,0,28,32,,,,,5,True,,+ACI-0,5+ACI-
203130,600,150,LSTM,1,28,64,,,,,2,True,,+ACI-0,5+ACI-
203140,2200,300,LSTM,0,28,128,,,,,3,False,,+ACI-0,4+ACI-
203150,2800,200,LSTM,1,28,256,,,,,4,True,,+ACI-0,3+ACI-
